,Step,Reward,Total Mean,Total Reward
0,322,300.0,300.0,300.0
1,800,600.0,450.0,900.0
2,1082,100.0,333.3333333333333,1000.0
3,1433,250.0,312.5,1250.0
4,1751,250.0,300.0,1500.0
5,2504,900.0,400.0,2400.0
6,2788,150.0,364.2857142857143,2550.0
7,3084,200.0,343.75,2750.0
8,3342,200.0,327.77777777777777,2950.0
9,3687,250.0,320.0,3200.0
10,4100,300.0,318.1818181818182,3500.0
11,4384,150.0,304.1666666666667,3650.0
12,4672,150.0,292.3076923076923,3800.0
13,4956,200.0,285.7142857142857,4000.0
14,5342,400.0,293.3333333333333,4400.0
15,5620,150.0,284.375,4550.0
16,5860,50.0,270.5882352941176,4600.0
17,6199,400.0,277.77777777777777,5000.0
18,6609,200.0,273.6842105263158,5200.0
19,6901,300.0,275.0,5500.0
20,7314,300.0,276.1904761904762,5800.0
21,7853,350.0,279.54545454545456,6150.0
22,8183,300.0,280.4347826086956,6450.0
23,8486,200.0,277.0833333333333,6650.0
24,8794,200.0,274.0,6850.0
25,9213,400.0,278.84615384615387,7250.0
26,9620,350.0,281.48148148148147,7600.0
27,10173,500.0,289.2857142857143,8100.0
28,10497,150.0,284.48275862068965,8250.0
29,10913,200.0,281.6666666666667,8450.0
30,11205,150.0,277.4193548387097,8600.0
31,11542,250.0,276.5625,8850.0
32,11902,300.0,277.27272727272725,9150.0
33,12164,150.0,273.52941176470586,9300.0
34,12550,450.0,278.57142857142856,9750.0
35,12821,150.0,275.0,9900.0
36,13322,550.0,282.43243243243245,10450.0
37,13642,150.0,278.94736842105266,10600.0
38,14079,250.0,278.20512820512823,10850.0
39,14401,250.0,277.5,11100.0
40,14721,100.0,273.1707317073171,11200.0
41,14987,150.0,270.23809523809524,11350.0
42,15464,350.0,272.09302325581393,11700.0
43,15748,300.0,272.72727272727275,12000.0
44,16071,100.0,268.8888888888889,12100.0
45,16352,200.0,267.39130434782606,12300.0
46,17013,800.0,278.72340425531917,13100.0
47,17292,150.0,276.0416666666667,13250.0
48,17753,300.0,276.53061224489795,13550.0
49,18136,350.0,278.0,13900.0
50,18417,150.0,275.4901960784314,14050.0
51,18694,100.0,272.11538461538464,14150.0
52,19001,300.0,272.64150943396226,14450.0
53,19285,150.0,270.3703703703704,14600.0
54,19742,500.0,274.54545454545456,15100.0
55,20265,550.0,279.4642857142857,15650.0
56,20535,100.0,276.3157894736842,15750.0
57,20863,150.0,274.13793103448273,15900.0
58,21156,100.0,271.1864406779661,16000.0
59,21483,150.0,269.1666666666667,16150.0
60,21823,350.0,270.4918032786885,16500.0
61,22163,200.0,269.35483870967744,16700.0
62,22448,100.0,266.6666666666667,16800.0
63,22719,150.0,264.84375,16950.0
64,22968,150.0,263.0769230769231,17100.0
65,23445,350.0,264.3939393939394,17450.0
66,23775,250.0,264.17910447761193,17700.0
67,24107,200.0,263.2352941176471,17900.0
68,24586,350.0,264.4927536231884,18250.0
69,24958,250.0,264.2857142857143,18500.0
70,25234,150.0,262.67605633802816,18650.0
71,25516,200.0,261.80555555555554,18850.0
72,25783,50.0,258.90410958904107,18900.0
73,26068,250.0,258.7837837837838,19150.0
74,26413,350.0,260.0,19500.0
75,26787,400.0,261.8421052631579,19900.0
76,27227,350.0,262.987012987013,20250.0
77,27596,350.0,264.1025641025641,20600.0
78,27874,300.0,264.55696202531647,20900.0
79,28157,100.0,262.5,21000.0
80,28460,200.0,261.7283950617284,21200.0
81,28810,300.0,262.1951219512195,21500.0
82,29089,250.0,262.04819277108436,21750.0
83,29472,200.0,261.3095238095238,21950.0
84,29770,250.0,261.1764705882353,22200.0
85,30096,450.0,263.3720930232558,22650.0
86,30502,300.0,263.7931034482759,22950.0
87,30911,350.0,264.77272727272725,23300.0
88,31380,550.0,267.97752808988764,23850.0
89,31799,400.0,269.44444444444446,24250.0
90,32075,50.0,267.032967032967,24300.0
91,32345,50.0,264.67391304347825,24350.0
92,32622,200.0,263.97849462365593,24550.0
93,32986,300.0,264.36170212765956,24850.0
94,33261,250.0,264.2105263157895,25100.0
95,33498,200.0,263.5416666666667,25300.0
96,33787,100.0,261.8556701030928,25400.0
97,34088,150.0,260.7142857142857,25550.0
98,34379,350.0,261.6161616161616,25900.0
99,34829,350.0,262.5,26250.0
100,35227,300.0,262.8712871287129,26550.0
101,35544,250.0,262.7450980392157,26800.0
102,35772,200.0,262.13592233009706,27000.0
103,36047,200.0,261.53846153846155,27200.0
104,36540,450.0,263.3333333333333,27650.0
105,36955,400.0,264.62264150943395,28050.0
106,37435,450.0,266.3551401869159,28500.0
107,37830,250.0,266.2037037037037,28750.0
108,38192,150.0,265.13761467889907,28900.0
109,38615,550.0,267.72727272727275,29450.0
110,38879,100.0,266.2162162162162,29550.0
111,39372,450.0,267.85714285714283,30000.0
112,39746,250.0,267.6991150442478,30250.0
113,40198,300.0,267.9824561403509,30550.0
114,40526,300.0,268.2608695652174,30850.0
115,40826,50.0,266.37931034482756,30900.0
116,41102,150.0,265.38461538461536,31050.0
117,41477,350.0,266.10169491525426,31400.0
118,41927,400.0,267.2268907563025,31800.0
119,42454,400.0,268.3333333333333,32200.0
120,42862,300.0,268.59504132231405,32500.0
121,43257,200.0,268.0327868852459,32700.0
122,43686,250.0,267.8861788617886,32950.0
123,43939,200.0,267.33870967741933,33150.0
124,44200,100.0,266.0,33250.0
125,44472,150.0,265.07936507936506,33400.0
126,44762,200.0,264.56692913385825,33600.0
127,45183,350.0,265.234375,33950.0
128,45491,300.0,265.50387596899225,34250.0
129,45843,350.0,266.15384615384613,34600.0
