,0
0,250.0
1,200.0
2,200.0
3,200.0
4,50.0
5,100.0
6,200.0
7,450.0
8,250.0
9,250.0
10,150.0
11,200.0
12,150.0
13,500.0
14,550.0
15,250.0
16,200.0
17,150.0
18,200.0
19,350.0
20,250.0
21,150.0
22,250.0
23,350.0
24,200.0
25,400.0
26,200.0
27,200.0
28,150.0
29,300.0
30,200.0
31,100.0
32,350.0
33,200.0
34,350.0
35,150.0
36,100.0
37,350.0
38,500.0
39,400.0
40,100.0
41,400.0
42,350.0
43,150.0
44,300.0
45,200.0
46,250.0
47,150.0
48,300.0
49,350.0
50,150.0
51,350.0
52,350.0
53,550.0
54,800.0
55,500.0
56,550.0
57,300.0
58,300.0
59,250.0
60,350.0
61,350.0
62,50.0
63,400.0
64,600.0
65,300.0
66,350.0
67,50.0
68,150.0
69,400.0
70,200.0
71,300.0
72,150.0
73,100.0
74,200.0
75,100.0
76,650.0
77,250.0
78,300.0
79,250.0
80,100.0
81,550.0
82,400.0
83,300.0
84,550.0
85,100.0
86,250.0
87,350.0
88,250.0
89,600.0
90,400.0
91,400.0
92,450.0
93,350.0
94,300.0
95,350.0
96,50.0
97,200.0
98,350.0
99,150.0
100,200.0
101,300.0
102,150.0
103,500.0
104,250.0
105,100.0
106,300.0
107,300.0
108,250.0
109,250.0
110,50.0
111,400.0
112,300.0
113,150.0
114,200.0
115,200.0
116,200.0
117,200.0
118,150.0
119,100.0
120,150.0
121,100.0
122,100.0
123,850.0
124,250.0
125,300.0
126,300.0
127,250.0
128,250.0
129,150.0
130,350.0
131,300.0
132,100.0
133,200.0
134,700.0
135,350.0
136,650.0
137,150.0
138,200.0
139,500.0
140,200.0
141,200.0
142,100.0
143,350.0
144,150.0
145,300.0
146,300.0
147,350.0
148,250.0
149,450.0
150,100.0
151,600.0
152,250.0
153,300.0
154,200.0
155,200.0
156,200.0
157,350.0
158,100.0
159,150.0
160,500.0
161,100.0
162,650.0
163,250.0
164,350.0
165,400.0
166,250.0
167,250.0
168,550.0
169,100.0
170,400.0
171,500.0
172,200.0
173,100.0
174,300.0
175,350.0
176,300.0
177,300.0
178,150.0
179,50.0
180,150.0
181,350.0
182,150.0
183,500.0
184,350.0
185,150.0
186,150.0
187,250.0
188,350.0
189,350.0
190,100.0
191,100.0
192,100.0
193,350.0
194,50.0
195,100.0
196,200.0
197,250.0
198,550.0
199,200.0
200,250.0
201,200.0
202,600.0
203,200.0
204,350.0
205,300.0
206,100.0
207,800.0
208,150.0
209,50.0
210,300.0
211,100.0
212,200.0
213,300.0
214,250.0
215,100.0
216,100.0
217,450.0
218,50.0
219,250.0
220,500.0
221,250.0
222,250.0
223,350.0
224,150.0
225,450.0
226,250.0
227,150.0
228,350.0
229,350.0
230,450.0
231,150.0
232,100.0
233,300.0
234,750.0
235,400.0
236,400.0
237,300.0
238,450.0
239,150.0
240,650.0
241,550.0
242,250.0
243,150.0
244,200.0
245,350.0
246,150.0
247,150.0
248,200.0
249,500.0
250,150.0
251,150.0
252,150.0
253,200.0
254,400.0
255,400.0
256,400.0
257,250.0
258,150.0
259,350.0
260,200.0
261,100.0
262,100.0
263,500.0
264,250.0
265,300.0
266,150.0
267,150.0
268,250.0
269,50.0
270,300.0
271,100.0
272,400.0
273,350.0
274,100.0
275,400.0
276,500.0
277,400.0
278,250.0
279,50.0
280,200.0
281,300.0
282,400.0
283,350.0
284,250.0
285,500.0
286,150.0
287,200.0
288,250.0
289,200.0
290,100.0
291,350.0
292,400.0
293,350.0
294,400.0
295,250.0
296,350.0
297,350.0
298,200.0
299,500.0
300,250.0
301,150.0
302,300.0
303,200.0
304,100.0
305,200.0
306,350.0
307,450.0
308,500.0
309,150.0
310,250.0
311,200.0
312,200.0
313,250.0
314,150.0
315,300.0
316,250.0
317,100.0
318,150.0
319,200.0
320,550.0
321,400.0
322,250.0
323,100.0
324,350.0
325,250.0
326,100.0
327,300.0
328,600.0
329,250.0
330,200.0
331,450.0
332,300.0
333,200.0
334,50.0
335,150.0
336,250.0
337,800.0
338,300.0
339,400.0
340,500.0
341,50.0
342,250.0
343,300.0
344,250.0
345,450.0
346,100.0
347,350.0
348,500.0
349,200.0
350,350.0
351,300.0
352,200.0
353,100.0
354,250.0
355,400.0
356,350.0
357,200.0
358,350.0
359,200.0
360,250.0
361,150.0
362,250.0
363,350.0
364,150.0
365,300.0
366,350.0
367,150.0
368,150.0
369,150.0
370,150.0
371,400.0
372,900.0
373,150.0
374,350.0
375,350.0
376,50.0
377,250.0
378,100.0
379,350.0
380,250.0
381,450.0
382,200.0
383,150.0
384,400.0
385,150.0
386,650.0
387,150.0
388,450.0
389,200.0
390,200.0
391,200.0
392,300.0
393,150.0
394,150.0
395,150.0
396,300.0
397,150.0
398,400.0
399,350.0
400,250.0
401,500.0
402,100.0
