Step,Reward,Total Mean,Total Reward
329,300,300,300
705,250,275,550
1301,750,433.3333333,1300
1801,450,437.5,1750
2119,450,440,2200
2439,150,391.6666667,2350
2861,250,371.4285714,2600
3222,400,375,3000
3514,200,355.5555556,3200
3812,200,340,3400
4106,150,322.7272727,3550
4502,350,325,3900
4806,100,307.6923077,4000
5484,850,346.4285714,4850
5817,250,340,5100
6154,200,331.25,5300
6643,450,338.2352941,5750
6912,300,336.1111111,6050
7316,400,339.4736842,6450
7856,500,347.5,6950
8197,200,340.4761905,7150
8483,100,329.5454545,7250
8761,150,321.7391304,7400
9034,100,312.5,7500
9315,50,302,7550
9697,300,301.9230769,7850
10078,350,303.7037037,8200
10340,100,296.4285714,8300
10680,150,291.3793103,8450
10952,150,286.6666667,8600
11323,300,287.0967742,8900
11906,450,292.1875,9350
12183,150,287.8787879,9500
12571,300,288.2352941,9800
13015,500,294.2857143,10300
13306,200,291.6666667,10500
13588,150,287.8378378,10650
13991,400,290.7894737,11050
14326,350,292.3076923,11400
14641,150,288.75,11550
14983,200,286.5853659,11750
15540,400,289.2857143,12150
15821,150,286.0465116,12300
16105,150,282.9545455,12450
16401,200,281.1111111,12650
16689,100,277.173913,12750
17003,200,275.5319149,12950
17289,200,273.9583333,13150
17751,550,279.5918367,13700
18100,350,281,14050
18461,250,280.3921569,14300
18867,100,276.9230769,14400
19204,150,274.5283019,14550
19487,150,272.2222222,14700
19850,350,273.6363636,15050
20289,400,275.8928571,15450
20571,100,272.8070175,15550
20960,250,272.4137931,15800
21237,50,268.6440678,15850
21693,250,268.3333333,16100
22056,250,268.0327869,16350
22664,750,275.8064516,17100
23021,250,275.3968254,17350
23299,150,273.4375,17500
23607,200,272.3076923,17700
24066,450,275,18150
24339,150,273.1343284,18300
24626,150,271.3235294,18450
25104,650,276.8115942,19100
25430,150,275,19250
25807,450,277.4647887,19700
26372,500,280.5555556,20200
26688,300,280.8219178,20500
26969,150,279.0540541,20650
27377,350,280,21000
27630,100,277.6315789,21100
27923,100,275.3246753,21200
28349,500,278.2051282,21700
28630,300,278.4810127,22000
28902,100,276.25,22100
29501,450,278.3950617,22550
29936,350,279.2682927,22900
30290,250,278.9156627,23150
30631,250,278.5714286,23400
31071,250,278.2352941,23650
31377,400,279.6511628,24050
31829,450,281.6091954,24500
32114,100,279.5454545,24600
32486,300,279.7752809,24900
32828,400,281.1111111,25300
33215,250,280.7692308,25550
33631,500,283.1521739,26050
33959,300,283.3333333,26350
34228,100,281.3829787,26450
34509,400,282.6315789,26850
35141,700,286.9791667,27550
35489,300,287.1134021,27850
35863,400,288.2653061,28250
36257,200,287.3737374,28450
36694,500,289.5,28950
37039,200,288.6138614,29150
37441,300,288.7254902,29450
37711,200,287.8640777,29650
38170,400,288.9423077,30050
38637,500,290.952381,30550
38899,400,291.9811321,30950
39192,150,290.6542056,31100
39554,350,291.2037037,31450
39842,200,290.3669725,31650
40133,150,289.0909091,31800
40701,550,291.4414414,32350
41046,300,291.5178571,32650
41370,150,290.2654867,32800
41768,400,291.2280702,33200
42280,700,294.7826087,33900
42619,200,293.9655172,34100
42935,150,292.7350427,34250
43256,350,293.220339,34600
43581,300,293.2773109,34900
43886,350,293.75,35250
44131,200,292.9752066,35450
44427,100,291.3934426,35550
44742,300,291.4634146,35850
45031,200,290.7258065,36050
45526,500,292.4,36550
45923,350,292.8571429,36900
46190,100,291.3385827,37000
46471,100,289.84375,37100
46768,250,289.5348837,37350
47059,200,288.8461538,37550
47482,450,290.0763359,38000
47868,300,290.1515152,38300
48156,200,289.4736842,38500
48430,150,288.4328358,38650
48740,350,288.8888889,39000
49061,250,288.6029412,39250
49356,200,287.9562044,39450
49708,250,287.6811594,39700
50105,300,287.7697842,40000
50441,350,288.2142857,40350
50692,150,287.2340426,40500
51133,600,289.4366197,41100
51419,150,288.4615385,41250
51879,400,289.2361111,41650
52393,650,291.7241379,42300
52685,300,291.7808219,42600
53025,300,291.8367347,42900
53307,200,291.2162162,43100
53681,200,290.6040268,43300
54103,450,291.6666667,43750
54522,450,292.7152318,44200
55056,550,294.4078947,44750
55592,500,295.751634,45250
55907,250,295.4545455,45500
56211,200,294.8387097,45700
56503,200,294.2307692,45900
56779,150,293.3121019,46050
57082,150,292.4050633,46200
57496,350,292.7672956,46550
57783,200,292.1875,46750
58143,400,292.8571429,47150
58423,150,291.9753086,47300
58701,250,291.7177914,47550
59131,400,292.3780488,47950
59445,300,292.4242424,48250
60065,500,293.6746988,48750
60758,650,295.8083832,49400
60999,150,294.9404762,49550
61452,500,296.1538462,50050
61772,300,296.1764706,50350
62042,150,295.3216374,50500
62340,250,295.0581395,50750
62611,100,293.9306358,50850
62929,100,292.816092,50950
63286,300,292.8571429,51250
63843,650,294.8863636,51900
64470,750,297.4576271,52650
64962,550,298.8764045,53200
65264,100,297.7653631,53300
65635,550,299.1666667,53850
65913,200,298.6187845,54050
66440,500,299.7252747,54550
66767,300,299.726776,54850
67056,100,298.6413043,54950
67336,200,298.1081081,55150
67619,200,297.5806452,55350
68049,650,299.4652406,56000
68351,200,298.9361702,56200
68794,500,300,56700
69127,400,300.5263158,57100
69404,250,300.2617801,57350
69812,550,301.5625,57900
70096,450,302.3316062,58350
70362,150,301.5463918,58500
70892,550,302.8205128,59050
71266,250,302.5510204,59300
71571,200,302.0304569,59500
71986,350,302.2727273,59850
72288,200,301.758794,60050
72816,600,303.25,60650
73063,150,302.4875622,60800
73500,450,303.2178218,61250
73904,400,303.6945813,61650
74228,200,303.1862745,61850
74532,150,302.4390244,62000
74791,200,301.9417476,62200
75286,450,302.6570048,62650
75673,350,302.8846154,63000
75937,250,302.6315789,63250
76376,550,303.8095238,63800
76680,350,304.028436,64150
77060,300,304.009434,64450
77367,350,304.2253521,64800
77699,300,304.2056075,65100
77994,300,304.1860465,65400
78291,350,304.3981481,65750
78571,200,303.9170507,65950
78864,200,303.440367,66150
79173,350,303.652968,66500
79428,150,302.9545455,66650
79708,150,302.2624434,66800
80027,250,302.027027,67050
80394,250,301.793722,67300
80723,350,302.0089286,67650
80992,200,301.5555556,67850
81261,250,301.3274336,68100
81567,200,300.8810573,68300
81874,200,300.4385965,68500
82139,150,299.7816594,68650
82520,350,300,69000
83072,400,300.4329004,69400
83300,250,300.2155172,69650
83583,350,300.4291845,70000
84013,450,301.0683761,70450
84292,350,301.2765957,70800
84722,400,301.6949153,71200
84965,200,301.2658228,71400
85513,550,302.3109244,71950
85832,250,302.0920502,72200
86368,500,302.9166667,72700
86796,400,303.3195021,73100
87058,200,302.892562,73300
87425,250,302.6748971,73550
87697,250,302.4590164,73800
88019,300,302.4489796,74100
88420,350,302.6422764,74450
88804,350,302.8340081,74800
89156,200,302.4193548,75000
89569,350,302.6104418,75350
89810,300,302.6,75650
90227,450,303.187251,76100
90604,500,303.968254,76600
90954,250,303.7549407,76850
91305,300,303.7401575,77150
91636,300,303.7254902,77450
92015,500,304.4921875,77950
92295,300,304.4747082,78250
92731,400,304.8449612,78650
92966,150,304.2471042,78800
93250,250,304.0384615,79050
93793,700,305.5555556,79750
94080,400,305.9160305,80150
94397,350,306.0836502,80500
94963,700,307.5757576,81200
95402,550,308.490566,81750
95912,700,309.962406,82450
